sku,name,brand,category,price,cost_price,original_price,stock_quantity,reorder_threshold,image_url,tagline,description,features,specs,gst_rate_pct,hsn_sac_code,offer_code,offer_discount_pct,offer_badge
RZP-SBOX-4G-PRO,Razorpay Smart Soundbox 4G Pro,Razorpay Hardware,Payment Audio Alerts,2499.0,1350.0,2999.0,320,50,https://images.unsplash.com/photo-1545454675-3531b543be5d?w=600,Instant multilingual voice alert soundbox with pre-activated 4G SIM.,High-volume 3W speaker broadcasting payment confirmations in 11 Indian languages.,"[""11 Regional Indian Languages"", ""95dB High-clarity Speaker"", ""Dual SIM Auto-switch""]","[{""key"": ""Battery"", ""value"": ""2600mAh (72h backup)""}, {""key"": ""Speaker Output"", ""value"": ""3W Crystal Clear""}]",18.0,8470,FESTIVE15,15.0,BEST AUDIO
RZP-SBOX-SOLAR-ECO,Razorpay EcoSoundbox Solar Edition,Razorpay Hardware,Payment Audio Alerts,2899.0,1600.0,3499.0,180,30,https://images.unsplash.com/photo-1508700115892-45ecd05ae2ad?w=600,Solar-charging audio soundbox for outdoor kiosks and street vendors.,Ruggedized IP54 water-resistant soundbox with integrated solar charging panel.,"[""Monocrystalline Solar Panel"", ""IP54 Dust & Rain Protection"", ""Instant 4G Voice Broadcast""]","[{""key"": ""Solar Panel"", ""value"": ""1.5W High-efficiency""}, {""key"": ""Battery"", ""value"": ""3000mAh LiFePO4""}]",18.0,8470,RAZOR2026,10.0,SOLAR ECO
PAYTM-SBOX-3-VOICE,Paytm Soundbox 3.0 Multilingual,Paytm,Payment Audio Alerts,1999.0,1100.0,2499.0,250,40,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=600,Compact 4G soundbox with dynamic visual LED confirmation ring.,Countertop audio notification speaker with 4G connectivity and multi-lingual voice.,"[""RGB Notification Ring"", ""4G VoLTE Support"", ""Long-lasting Battery""]","[{""key"": ""Speaker"", ""value"": ""2.5W Clear Sound""}, {""key"": ""Battery"", ""value"": ""2000mAh""}]",18.0,8470,RAZOR2026,10.0,AUDIO
PHONEPE-SPEAKER-G2,PhonePe SmartSpeaker G2,PhonePe,Payment Audio Alerts,2199.0,1200.0,2799.0,210,35,https://images.unsplash.com/photo-1543512214-318c7553f230?w=600,Smart audio alert box with built-in LCD display for payment amount.,Dual confirmation device with audible voice announcements and numerical amount screen.,"[""Numeric LED Display"", ""High Gain 4G Antenna"", ""10 Indian Languages""]","[{""key"": ""Display"", ""value"": ""7-Segment LED""}, {""key"": ""Battery"", ""value"": ""2500mAh""}]",18.0,8470,FESTIVE15,15.0,DUAL DISPLAY
BHARATPE-CLUB-SPEAKER,BharatPe Club Speaker 4G,BharatPe,Payment Audio Alerts,1849.0,1050.0,2299.0,190,30,https://images.unsplash.com/photo-1508700115892-45ecd05ae2ad?w=600,Ruggedized 4G audio box with 100dB speaker output.,High-volume audio soundbox engineered for noisy fish markets and crowded bazaars.,"[""100dB Ultra-loud Audio"", ""Heavy-duty ABS Case"", ""Instant QR Pairing""]","[{""key"": ""Decibel Level"", ""value"": ""100dB at 1m""}, {""key"": ""Battery"", ""value"": ""2200mAh""}]",18.0,8470,RAZOR2026,10.0,LOUD AUDIO
GPAY-SOUNDPOD-LITE,Google Pay SoundPod Pro,Google Pay,Payment Audio Alerts,2299.0,1300.0,2699.0,160,25,https://images.unsplash.com/photo-1545454675-3531b543be5d?w=600,Minimalist soundbox powered by Google assistant voice engine.,Modern circular soundbox with clean aesthetics and crystal-clear voice clarity.,"[""Natural Voice Synthesis"", ""Fast Type-C Charging"", ""Dual Band Wi-Fi + 4G""]","[{""key"": ""Charging"", ""value"": ""USB Type-C Fast Charge""}, {""key"": ""Weight"", ""value"": ""210g""}]",18.0,8470,RAZOR2026,10.0,MINIMALIST
RZP-RECON-ENT-ANNUAL,RazorRecon Enterprise License (Annual),RazorRecon SaaS,FinOps Software,74999.0,18000.0,99999.0,500,50,https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=600,Unlimited 3-way multi-channel financial reconciliation with AI CFO copilot.,Annual enterprise license with continuous ERP ledger sync vendor behavioral memory and autonomous month-end close.,"[""Unlimited Multi-Channel Transactions"", ""ReAct AI CFO Copilot"", ""Autonomous 7-phase Month Close""]","[{""key"": ""Deployment"", ""value"": ""Cloud SaaS & Dedicated VPC""}, {""key"": ""SLA"", ""value"": ""99.99% Guaranteed""}]",18.0,9983,ENTERPRISE5000,10.0,ENTERPRISE
RZP-RECON-STARTER,RazorRecon Growth License (Quarterly),RazorRecon SaaS,FinOps Software,19999.0,5000.0,24999.0,500,50,https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=600,Quarterly reconciliation package for high-growth D2C brands.,Processes up to 50000 monthly transactions across Razorpay Stripe and Shopify.,"[""50,000 Monthly Transactions"", ""Automated GST 3-Way Match"", ""Exception Queue Resolution""]","[{""key"": ""Seats"", ""value"": ""5 Concurrent Finance Users""}, {""key"": ""Support"", ""value"": ""Business Hours Email & Chat""}]",18.0,9983,RAZOR2026,10.0,GROWTH
RZP-GST-API-ANNUAL,RazorGST Automated Filing & Reconciliation API,RazorRecon SaaS,FinOps Software,34999.0,8500.0,42999.0,500,50,https://images.unsplash.com/photo-1554224155-8d04cb21cd6c?w=600,Direct NIC GSP integration for GSTR-1 GSTR-2B and GSTR-3B auto-filing.,Real-time GST compliance engine verifying HSN rates ITC eligibility and counterparty e-invoices.,"[""GSTR-2B Instant Inward ITC Match"", ""Automated E-Way Bill Generation"", ""Section 194R TDS Audit Tool""]","[{""key"": ""API Quota"", ""value"": ""Unlimited API Calls""}, {""key"": ""Security"", ""value"": ""ISO 27001 Certified""}]",18.0,9983,FESTIVE15,15.0,GST COMPLIANCE
TALLY-PRIME-GOLD-ENT,TallyPrime Gold (Multi-User Enterprise),Tally Solutions,FinOps Software,54000.0,38000.0,60000.0,100,15,https://images.unsplash.com/photo-1450133064473-71024230f91b?w=600,Perpetual multi-user business management and accounting software.,Industry-standard Indian ERP software for inventory payroll statutory tax and bank reconciliation.,"[""Unlimited Multi-User LAN Access"", ""Tally Software Services (TSS) 1 Year"", ""Direct Banking Sync""]","[{""key"": ""License Type"", ""value"": ""Perpetual Multi-User""}, {""key"": ""OS"", ""value"": ""Windows Server / 10 / 11""}]",18.0,9983,RAZOR2026,8.0,ACCOUNTING
ZOHO-ONE-SUITE-ANNUAL,Zoho One All-In-One Business OS (Annual),Zoho Corp,FinOps Software,28800.0,20000.0,34000.0,200,30,https://images.unsplash.com/photo-1507238691740-187a5b1d37b8?w=600,Comprehensive suite of 45+ integrated SaaS applications for finance and ops.,Full business management suite including Zoho Books Inventory CRM and Analytics.,"[""45+ Business Applications"", ""Integrated Zoho Books & Payroll"", ""Custom Deluge Scripting""]","[{""key"": ""Billing"", ""value"": ""Annual per Employee""}, {""key"": ""Cloud"", ""value"": ""Encrypted Indian Data Centers""}]",18.0,9983,RAZOR2026,10.0,SAAS SUITE
QUICKBOOKS-ONLINE-PLUS,Intuit QuickBooks Online Plus (Annual),Intuit,FinOps Software,14999.0,9500.0,18999.0,150,20,https://images.unsplash.com/photo-1460925895917-afdab827c52f?w=600,Cloud accounting software with advanced inventory tracking and bill management.,Streamline cash flow tracking invoice generation and expense categorization.,"[""Track Project Profitability"", ""Manage 1099 / TDS Contractors"", ""5 Concurrent Users""]","[{""key"": ""Platform"", ""value"": ""Web, iOS, Android""}, {""key"": ""Backup"", ""value"": ""Automated Daily Cloud Backup""}]",18.0,9983,RAZOR2026,10.0,CLOUD BOOKS
ORACLE-NETSUITE-CONNECTOR,RazorRecon NetSuite Two-Way ERP Connector,RazorRecon SaaS,FinOps Software,49999.0,12000.0,64999.0,300,25,https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=600,Automated bi-directional sync between payment gateways and Oracle NetSuite.,Eliminates CSV exports with scheduled automated journal postings and sub-ledger reconciliation.,"[""Near Real-time Webhook Sync"", ""Automated GL Account Mapping"", ""Multi-Currency Netting""]","[{""key"": ""Architecture"", ""value"": ""SuiteTalk REST Web Services""}, {""key"": ""Certification"", ""value"": ""Built for NetSuite Verified""}]",18.0,9983,FESTIVE15,15.0,NETSUITE SYNC
CLOUD-COST-SENTINEL,CloudFinOps AWS & Azure Cost Optimizer,RazorRecon SaaS,FinOps Software,22499.0,6000.0,29999.0,400,40,https://images.unsplash.com/photo-1451187580459-43490279c0fa?w=600,Automated cloud infrastructure spend anomaly detection and RI manager.,Slashes AWS and Google Cloud billing waste by 30% through automated rightsizing.,"[""Spot Instance Auto-Switcher"", ""Unattached EBS Volume Cleanup"", ""Slack Spend Spike Alerts""]","[{""key"": ""Supported Clouds"", ""value"": ""AWS, Azure, GCP, OCI""}, {""key"": ""Read-Only Access"", ""value"": ""IAM Role Based Delegation""}]",18.0,9983,RAZOR2026,10.0,CLOUD FINOPS
KEYCHRON-Q3-PRO,Keychron Q3 Pro SE Wireless Mechanical Keyboard,Keychron,Workstations & Peripherals,18499.0,11500.0,21999.0,45,10,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=600,Full CNC aluminum custom wireless mechanical keyboard with macro knob.,Custom mechanical keyboard with QMK/VIA key remapping hot-swappable switches and double-gasket dampening.,"[""Full CNC Aluminum Body"", ""QMK/VIA Programmable Knob"", ""South-facing RGB LEDs""]","[{""key"": ""Connectivity"", ""value"": ""Bluetooth 5.1 + Type-C""}, {""key"": ""Switches"", ""value"": ""K Pro Banana Tactile""}]",18.0,8471,RAZOR2026,10.0,DEV FAVORITE
DELL-U4025QW-5K2K,Dell UltraSharp 40" Curved 5K2K Thunderbolt Hub Monitor,Dell,Workstations & Peripherals,139999.0,98000.0,159999.0,22,5,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=600,120Hz IPS Black 5K2K curved ultrawide financial trading display.,High-resolution display for financial modelers and data analysts with 140W Thunderbolt 4 hub.,"[""5120 x 2160 WUHD Resolution"", ""120Hz Refresh Rate with IPS Black"", ""140W Thunderbolt 4 Power Delivery""]","[{""key"": ""Color Gamut"", ""value"": ""99% DCI-P3 / 100% sRGB""}, {""key"": ""Ports"", ""value"": ""Thunderbolt 4, RJ45 2.5GbE, HDMI 2.1""}]",18.0,8528,MODELDOCK12,7.0,5K2K PRO
LOGI-MX-MASTER-3S,Logitech MX Master 3S Wireless Performance Mouse,Logitech,Workstations & Peripherals,9995.0,6200.0,11495.0,95,20,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7?w=600,Quiet click ergonomic mouse with 8000 DPI MagSpeed electromagnetic scroll.,Ergonomic productivity mouse capable of scrolling 1000 lines per second across spreadsheets.,"[""MagSpeed Electromagnetic Scrolling"", ""Quiet Clicks (90% noise reduction)"", ""8K DPI Glass Surface Tracking""]","[{""key"": ""Sensor"", ""value"": ""Darkfield High Precision""}, {""key"": ""Battery"", ""value"": ""500mAh (Up to 70 days)""}]",18.0,8471,RAZOR2026,10.0,ERGONOMIC
LOGI-MX-KEYS-S,Logitech MX Keys S Wireless Illuminated Keyboard,Logitech,Workstations & Peripherals,11495.0,7200.0,12995.0,70,15,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=600,Low-profile smart backlighting keyboard with spherically dished keys.,Fluid natural keystrokes engineered for accountants developers and writers.,"[""Smart Proximity Backlighting"", ""Smart Actions Automation"", ""Multi-Device Easy-Switch""]","[{""key"": ""Layout"", ""value"": ""Full Size with Numpad""}, {""key"": ""Wireless"", ""value"": ""Bluetooth Low Energy + Logi Bolt""}]",18.0,8471,RAZOR2026,10.0,FLUID TYPING
BENQ-PD3225U-4K,BenQ DesignVue PD3225U 32" 4K Thunderbolt Monitor,BenQ,Workstations & Peripherals,94990.0,66000.0,109990.0,16,4,https://images.unsplash.com/photo-1547082299-de196ea013d6?w=600,Calibrated 4K HDR display with M-Book mode and dual color gamut.,Calman and Pantone validated 4K monitor designed for dual Mac and Windows workstations.,"[""Thunderbolt 3 with 85W Daisy Chain"", ""Hotkey Puck G2 Controller"", ""KVM Switch Built-in""]","[{""key"": ""Resolution"", ""value"": ""3840 x 2160 IPS""}, {""key"": ""Contrast"", ""value"": ""2000:1 IPS Black""}]",18.0,8528,RAZOR2026,10.0,4K PRO
CALDIGIT-TS4-DOCK,CalDigit TS4 Thunderbolt 4 18-Port Dock,CalDigit,Workstations & Peripherals,38999.0,26000.0,44999.0,30,6,https://images.unsplash.com/photo-1588508065123-287b28e013da?w=600,The flagship 18-port Thunderbolt 4 hub with 98W laptop charging.,Connect up to dual 6K displays 2.5GbE LAN UHS-II SD cards and high-speed NVMe storage.,"[""18 Connectivity Ports"", ""98W Power Delivery to Host"", ""2.5 Gigabit Ethernet Port""]","[{""key"": ""Interface"", ""value"": ""Thunderbolt 4 (40Gb/s)""}, {""key"": ""Chassis"", ""value"": ""Solid Aluminum Heat Dissipation""}]",18.0,8471,RAZOR2026,10.0,THUNDERBOLT
APPLE-STUDIO-DISPLAY,Apple Studio Display 27" 5K Retina (Tilt Stand),Apple,Workstations & Peripherals,159900.0,128000.0,169900.0,12,3,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?w=600,27-inch 5K Retina display with 12MP Ultra Wide camera and Center Stage.,Immersive 5K screen with A13 Bionic chip studio-quality 3-mic array and 6-speaker sound system.,"[""5120 x 2880 5K Retina Resolution"", ""600 Nits Brightness & P3 Wide Color"", ""12MP Ultra-wide Cam with Center Stage""]","[{""key"": ""Glass"", ""value"": ""Standard Glass with Anti-reflective""}, {""key"": ""Audio"", ""value"": ""6-Speaker Sound System with Spatial Audio""}]",18.0,8528,RAZOR2026,5.0,RETINA 5K
HERMAN-MILLER-AERON,Herman Miller Aeron Ergonomic Office Chair (Size B),Herman Miller,Workstations & Peripherals,129000.0,92000.0,145000.0,14,3,https://images.unsplash.com/photo-1580481077195-c3a9a32249ce?w=600,The gold standard in ergonomic office seating with Pellicle 8Z mesh.,Full posture support with PostureFit SL sacral pads and fully adjustable armrests.,"[""Pellicle 8Z Breathable Suspension"", ""PostureFit SL Dual Lumbar Support"", ""12-Year Herman Miller Warranty""]","[{""key"": ""Frame/Base"", ""value"": ""Graphite Finish""}, {""key"": ""Tilt Mechanism"", ""value"": ""Forward & Recline Limiter""}]",18.0,9401,RAZOR2026,8.0,ERGONOMIC GOLD
STREAMDECK-XL-MACRO,Elgato Stream Deck XL (32 LCD Macro Keys),Elgato,Workstations & Peripherals,24999.0,16000.0,28999.0,38,8,https://images.unsplash.com/photo-1616440347437-b1c73416efc2?w=600,32 customizable LCD keys for 1-touch Excel macros and FinOps automation.,Assign complex hotkeys ERP navigation shortcuts and script triggers to bright visual buttons.,"[""32 Custom LCD Keys"", ""Direct FinOps Macro Integration"", ""Magnetic Non-slip Stand""]","[{""key"": ""Interface"", ""value"": ""USB 3.0 Type-C""}, {""key"": ""Dimensions"", ""value"": ""182 x 112 x 34 mm""}]",18.0,8471,RAZOR2026,10.0,MACRO PRO
SATECHI-DESK-MAT-LEATHER,Satechi Eco-Leather Extended Desk Mat,Satechi,Workstations & Peripherals,3999.0,1800.0,4999.0,120,20,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=600,Water-resistant premium vegan leather executive desk protector.,Clean smooth surface protecting wood desks while providing smooth mouse tracking.,"[""High-grade Polyurethane (PU) Leather"", ""Spill & Scratch Resistant"", ""Non-slip Suede Base""]","[{""key"": ""Dimensions"", ""value"": ""58 x 31 cm""}, {""key"": ""Color"", ""value"": ""Midnight Black""}]",18.0,3926,RAZOR2026,20.0,ACCESSORY
YUBIKEY-BIO-FIDO2,Yubico YubiKey Bio FIDO Edition (USB-A),Yubico,Security & Access Tokens,8999.0,5400.0,10499.0,110,20,https://images.unsplash.com/photo-1614064641938-3bbee52942c7?w=600,Biometric fingerprint hardware security key for passwordless login.,FIDO2 / WebAuthn hardware token storing biometric templates on a secure element chip.,"[""Fingerprint Biometric Authentication"", ""FIDO2, U2F, WebAuthn Certified"", ""Hardware Secure Element Chip""]","[{""key"": ""Form Factor"", ""value"": ""USB-A Connector""}, {""key"": ""Durability"", ""value"": ""IP68 Dust & Water Resistant""}]",18.0,8523,FESTIVE15,15.0,FIDO2 BIO
YUBIKEY-5C-NFC,Yubico YubiKey 5C NFC Multi-Protocol Key,Yubico,Security & Access Tokens,6499.0,3800.0,7499.0,145,25,https://images.unsplash.com/photo-1563770660941-20978e870e26?w=600,Universal dual USB-C and NFC hardware security token.,Multi-protocol authentication token supporting OTP smart card PIV OpenPGP and FIDO2.,"[""Dual USB-C & NFC Interfaces"", ""Smart Card / PIV Support"", ""No Batteries or Moving Parts""]","[{""key"": ""Protocols"", ""value"": ""FIDO2, U2F, Smart Card, OTP""}, {""key"": ""Material"", ""value"": ""Reinforced Fiberglass""}]",18.0,8523,RAZOR2026,10.0,MULTI-PROTOCOL
FEITIAN-BIOPASS-K27,FEITIAN BioPass FIDO2 USB-C Security Key,FEITIAN,Security & Access Tokens,5999.0,3500.0,6999.0,85,15,https://images.unsplash.com/photo-1614064641938-3bbee52942c7?w=600,Cost-effective biometric security token with Type-C plug.,Fast fingerprint verification preventing phishing and corporate credential stuffing.,"[""Capacitive Fingerprint Sensor"", ""FIDO2 Level 2 Certified"", ""Windows Hello & Google Workspace""]","[{""key"": ""Connector"", ""value"": ""USB Type-C""}, {""key"": ""Crypto Chip"", ""value"": ""EAL 6+ Certified""}]",18.0,8523,RAZOR2026,10.0,SECURE TOKEN
LEDGER-NANO-X-CRYPTO,Ledger Nano X Corporate Treasury Crypto Key,Ledger,Security & Access Tokens,15999.0,10200.0,18499.0,40,8,https://images.unsplash.com/photo-1622979135225-d2ba269bc1df?w=600,Bluetooth hardware wallet with CC EAL5+ certified secure element.,Secure management of corporate Web3 treasury assets and multi-sig contract signing.,"[""CC EAL5+ Certified Secure Chip"", ""Bluetooth Low Energy for Mobile"", ""Stores up to 100 App Signers""]","[{""key"": ""Screen"", ""value"": ""OLED Display 128x64""}, {""key"": ""Battery"", ""value"": ""100mAh Li-ion""}]",18.0,8523,RAZOR2026,10.0,TREASURY SECURE
TREZOR-SAFE-5-CRYPTO,Trezor Safe 5 Enterprise Edition,Trezor,Security & Access Tokens,17499.0,11500.0,19999.0,32,6,https://images.unsplash.com/photo-1622979135225-d2ba269bc1df?w=600,Open-source hardware token with color touchscreen and haptic feedback.,Enterprise hardware wallet with Shamir backup support for multi-stakeholder keys.,"[""Color Touchscreen with Haptics"", ""NDA-free Secure Element EAL 6+"", ""Shamir Multi-share Backup""]","[{""key"": ""Display"", ""value"": ""1.54\"" Color OLED""}, {""key"": ""Connector"", ""value"": ""USB-C with MicroSD Slot""}]",18.0,8523,RAZOR2026,10.0,OPEN SOURCE
HID-OMNIKEY-5427,HID OMNIKEY 5427 CK Contactless Smart Card Reader,HID Global,Security & Access Tokens,7899.0,4900.0,9499.0,60,12,https://images.unsplash.com/photo-1563770660941-20978e870e26?w=600,Dual-frequency 13.56 MHz and 125 kHz employee badge reader.,Integrates physical building access badges with workstation login authentication.,"[""Dual Frequency (Low & High Freq)"", ""Supports Seos, iCLASS, MIFARE"", ""CCID USB Interface""]","[{""key"": ""Frequency"", ""value"": ""13.56MHz & 125kHz""}, {""key"": ""Interface"", ""value"": ""USB 2.0 CCID""}]",18.0,8471,RAZOR2026,12.0,BADGE READER
SYNOLOGY-DS923-PLUS,Synology DiskStation DS923+ 4-Bay NAS,Synology,Storage & Servers,58999.0,41000.0,68999.0,25,5,https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=600,Compact 4-bay NAS for statutory finance document archiving and backup.,AMD Ryzen R1600 dual-core processor ECC memory and optional 10GbE network expansion.,"[""4 Drive Bays (Expandable to 9)"", ""ECC RAM with Btrfs File Self-Healing"", ""Active Backup for Microsoft 365 / ERP""]","[{""key"": ""CPU"", ""value"": ""AMD Ryzen R1600 Dual-Core 2.6GHz""}, {""key"": ""RAM"", ""value"": ""4GB DDR4 ECC (Max 32GB)""}]",18.0,8471,COMPLIANCE20,7.0,FINANCE ARCHIVE
SYNOLOGY-DS1821-PLUS,Synology DiskStation DS1821+ 8-Bay High Capacity NAS,Synology,Storage & Servers,104999.0,75000.0,119999.0,14,3,https://images.unsplash.com/photo-1597852074816-d933c4d2b988?w=600,8-bay quad-core NAS designed for enterprise accounting and ledger vaults.,High-throughput storage server with dual M.2 NVMe SSD cache slots and PCIe Gen3 x8 expansion.,"[""8 Drive Bays (Up to 144TB raw)"", ""Dual M.2 NVMe Cache Slots"", ""PCIe 10GbE NIC Expansion""]","[{""key"": ""CPU"", ""value"": ""AMD Ryzen V1500B Quad-Core 2.2GHz""}, {""key"": ""LAN"", ""value"": ""4x 1GbE RJ-45 with Link Aggregation""}]",18.0,8471,COMPLIANCE20,8.0,8-BAY HEAVY
DELL-POWEREDGE-R250,Dell PowerEdge R250 1U Rack Server,Dell,Storage & Servers,119000.0,84000.0,139000.0,10,2,https://images.unsplash.com/photo-1558494949-ef010cbdcc31?w=600,Affordable 1U rackmount server for on-premise ERP and accounting databases.,Intel Xeon E-2300 processor iDRAC9 remote management and hot-plug redundant power supplies.,"[""Intel Xeon E-2324G Quad-Core"", ""iDRAC9 Enterprise Remote Management"", ""4x 3.5\"" Hot-plug Drive Bays""]","[{""key"": ""Chassis"", ""value"": ""1U Rackmount""}, {""key"": ""Power"", ""value"": ""Dual 450W Redundant PSU""}]",18.0,8471,RAZOR2026,8.0,1U RACK SERVER
